State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Property Crime,Motor Vehicle Theft
OREGON,PORTLAND10,2019,657260,1736,16,188,470,16789,3241
OREGON,SALEM,2018,172022,398,2,35,99,3739,523
OREGON,SALEM,2019,172022,312,0,17,66,3256,404
PENNSYLVANIA,ALLENTOWN,2018,121743,187,4,25,81,1336,135
PENNSYLVANIA,ALLENTOWN,2019,121743,230,4,32,76,1261,93
PENNSYLVANIA,PHILADELPHIA,2018,1586916,6956,148,536,2481,23172,2645
PENNSYLVANIA,PHILADELPHIA,2019,1586916,7224,163,494,2576,22884,2606
PENNSYLVANIA,PITTSBURGH,2018,302544,827,30,54,329,4159,322
PENNSYLVANIA,PITTSBURGH,2019,302544,784,18,83,274,3648,291
RHODE ISLAND,PROVIDENCE,2018,180169,428,5,62,119,2829,322
RHODE ISLAND,PROVIDENCE,2019,180169,384,5,51,96,2302,215
SOUTH CAROLINA,CHARLESTON,2018,137092,176,4,19,34,1408,162
SOUTH CAROLINA,CHARLESTON,2019,137092,254,4,24,41,1333,184
SOUTH CAROLINA,COLUMBIA,2018,133540,524,7,54,104,3455,409
SOUTH CAROLINA,COLUMBIA,2019,133540,467,11,35,106,3109,326
SOUTH DAKOTA,SIOUX FALLS,2018,180335,371,3,51,54,2447,261
SOUTH DAKOTA,SIOUX FALLS,2019,180335,352,0,38,24,2026,250
TENNESSEE,CHATTANOOGA,2018,180397,919,8,78,168,5238,702
TENNESSEE,CHATTANOOGA,2019,180397,918,11,78,98,4605,529
TENNESSEE,CLARKSVILLE,2018,156264,510,12,55,64,2232,161
TENNESSEE,CLARKSVILLE,2019,156264,460,6,39,48,2241,231
TENNESSEE,KNOXVILLE,2018,188653,798,16,71,153,4465,536
TENNESSEE,KNOXVILLE,2019,188653,630,10,88,120,3888,457
TENNESSEE,MEMPHIS,2018,652226,6085,76,254,1410,20155,2260
TENNESSEE,MEMPHIS,2019,652226,6238,90,216,1150,19088,1873
TENNESSEE,METROPOLITAN NASHVILLE POLICE DEPARTMENT,2018,686492,3683,40,232,944,12776,1458
TENNESSEE,METROPOLITAN NASHVILLE POLICE DEPARTMENT,2019,686492,3404,30,204,923,12825,1348
TENNESSEE,MURFREESBORO,2018,140702,322,7,46,56,2077,133
TENNESSEE,MURFREESBORO,2019,140702,269,1,31,48,1959,118
TEXAS,ABILENE,2018,122480,272,2,60,38,1848,127
TEXAS,ABILENE,2019,122480,252,2,44,35,1566,103
TEXAS,ALLEN,2018,103168,60,0,18,11,610,24
TEXAS,ALLEN,2019,103168,48,0,11,10,547,28
TEXAS,AMARILLO,2018,201082,786,5,106,136,4195,447
TEXAS,AMARILLO,2019,201082,767,7,90,134,3804,486
TEXAS,ARLINGTON,2018,400920,918,4,116,187,6085,621
TEXAS,ARLINGTON,2019,400920,957,8,116,184,5498,606
TEXAS,AUSTIN6,2018,973344,1915,16,407,515,15268,1196
TEXAS,AUSTIN6,2019,973344,1899,13,281,437,17563,1407
TEXAS,BEAUMONT,2018,119368,636,5,54,173,2222,211
TEXAS,BEAUMONT,2019,119368,588,8,41,141,2118,149
TEXAS,BROWNSVILLE,2018,184461,313,2,12,75,2559,64
TEXAS,BROWNSVILLE,2019,184461,368,0,0,69,2231,64
TEXAS,CARROLLTON,2018,138216,93,2,26,29,1130,117
TEXAS,CARROLLTON,2019,138216,97,1,15,37,1052,136
TEXAS,COLLEGE STATION,2018,116565,114,1,29,15,1226,64
TEXAS,COLLEGE STATION,2019,116565,120,1,23,22,1133,94
TEXAS,CORPUS CHRISTI6,2018,328614,1214,14,147,239,5993,445
TEXAS,CORPUS CHRISTI6,2019,328614,1220,11,126,229,5450,400
TEXAS,DALLAS,2018,1362465,4763,81,434,1744,21200,4440
TEXAS,DALLAS,2019,1362465,5801,109,395,2188,22995,5207
TEXAS,DENTON,2018,139262,203,2,59,46,1743,126
TEXAS,DENTON,2019,139262,191,1,69,44,1615,114
TEXAS,EL PASO,2018,688442,1247,6,202,180,5187,374
TEXAS,EL PASO,2019,688442,1200,9,175,176,4909,396
TEXAS,FRISCO,2018,187889,90,1,28,11,1226,55
TEXAS,FRISCO,2019,187889,78,1,25,15,1257,58
TEXAS,GARLAND,2018,239577,333,7,52,119,3050,408
TEXAS,GARLAND,2019,239577,354,10,68,121,3363,447
TEXAS,GRAND PRAIRIE,2018,196535,241,3,48,64,2087,232
TEXAS,GRAND PRAIRIE,2019,196535,216,4,33,75,1936,252
TEXAS,HOUSTON5,2018,2344966,12194,139,609,4415,46206,5678
TEXAS,HOUSTON5,2019,2344966,11832,129,609,4309,48251,6028
TEXAS,IRVING,2018,243940,242,6,32,98,2827,316
TEXAS,IRVING,2019,243940,292,2,23,158,2887,330
TEXAS,KILLEEN,2018,148007,292,3,67,79,1703,119
TEXAS,KILLEEN,2019,148007,296,5,59,61,1594,158
TEXAS,LAREDO6,2018,264214,443,6,77,76,3170,87
TEXAS,LAREDO6,2019,264214,451,2,55,84,2442,139
TEXAS,LEAGUE CITY,2018,108275,44,1,19,9,883,70
TEXAS,LEAGUE CITY,2019,108275,63,1,27,6,725,42
TEXAS,LUBBOCK,2018,257372,1235,5,114,229,5543,622
TEXAS,LUBBOCK,2019,257372,1261,7,134,234,5584,555
TEXAS,MCALLEN,2018,144363,57,0,20,14,1961,23
TEXAS,MCALLEN,2019,144363,76,0,19,18,1725,13
TEXAS,MCKINNEY,2018,189555,160,0,35,46,1009,77
TEXAS,MCKINNEY,2019,189555,133,1,32,20,939,72
TEXAS,MESQUITE,2018,144558,313,4,29,109,2646,469
TEXAS,MESQUITE,2019,144558,335,5,26,110,2514,393
TEXAS,MIDLAND,2018,140072,179,3,34,25,1339,144
TEXAS,MIDLAND,2019,140072,201,2,35,20,1749,211
TEXAS,ODESSA,2018,119545,536,3,48,50,1453,186
TEXAS,ODESSA,2019,119545,603,3,72,55,1644,219
TEXAS,PASADENA6,2018,154101,355,3,56,90,1792,169
TEXAS,PASADENA6,2019,154101,393,1,44,85,1876,238
TEXAS,PEARLAND,2018,124179,70,0,11,15,887,49
TEXAS,PEARLAND,2019,124179,52,3,16,20,1053,46
TEXAS,RICHARDSON6,2018,119480,67,2,5,25,1224,104
TEXAS,RICHARDSON6,2019,119480,84,1,12,31,1177,124
TEXAS,ROUND ROCK,2018,127354,79,1,20,13,1170,26
TEXAS,ROUND ROCK,2019,127354,77,1,10,28,1160,25
TEXAS,SAN ANGELO,2018,101084,198,1,52,24,1611,110
TEXAS,SAN ANGELO,2019,101084,176,4,30,13,1576,114
TEXAS,SAN ANTONIO,2018,1539328,4916,58,680,873,30590,2955
TEXAS,SAN ANTONIO,2019,1539328,5171,53,717,926,32384,3492
TEXAS,TYLER,2018,106159,178,0,32,28,1375,65
TEXAS,TYLER,2019,106159,191,0,33,22,1555,82
TEXAS,WACO,2018,138091,376,2,56,57,2385,158
TEXAS,WACO,2019,138091,377,5,52,53,2247,140
TEXAS,WICHITA FALLS,2018,104738,199,4,45,67,1523,99
TEXAS,WICHITA FALLS,2019,104738,186,3,48,34,1495,103
UTAH,PROVO,2018,117986,115,1,42,9,1012,69
UTAH,PROVO,2019,117986,74,1,26,5,795,48
UTAH,SALT LAKE CITY,2018,202633,718,3,125,201,5969,735
UTAH,SALT LAKE CITY,2019,202633,673,7,119,191,5395,626
UTAH,WEST JORDAN,2018,115392,130,0,24,26,1492,158
UTAH,WEST JORDAN,2019,115392,112,0,13,11,1187,86
UTAH,WEST VALLEY,2018,137132,488,6,93,79,2446,421
UTAH,WEST VALLEY,2019,137132,474,4,88,71,2055,311
VIRGINIA,ALEXANDRIA,2018,162588,125,1,16,36,1082,160
VIRGINIA,ALEXANDRIA,2019,162588,137,1,7,44,1057,159
VIRGINIA,CHESAPEAKE,2018,242310,506,1,55,70,2404,139
VIRGINIA,CHESAPEAKE,2019,242310,524,3,51,76,2427,135
VIRGINIA,NEWPORT NEWS,2018,178734,445,16,49,100,2586,225
VIRGINIA,NEWPORT NEWS,2019,178734,472,8,27,78,2097,158
VIRGINIA,NORFOLK,2018,244347,554,20,63,144,3994,378
VIRGINIA,NORFOLK,2019,244347,601,13,70,140,3850,341
VIRGINIA,ROANOKE,2018,100042,208,5,26,53,2009,147
VIRGINIA,ROANOKE,2019,100042,209,6,28,45,2069,179
VIRGINIA,VIRGINIA BEACH,2018,451001,275,6,36,89,3650,245
VIRGINIA,VIRGINIA BEACH,2019,451001,250,15,42,87,3615,275
WASHINGTON,BELLEVUE,2018,146913,95,0,14,34,2230,161
WASHINGTON,BELLEVUE,2019,146913,107,1,15,36,2032,138
WASHINGTON,EVERETT,2018,111091,182,1,23,50,2444,534
WASHINGTON,EVERETT,2019,111091,168,4,20,38,1965,365
WASHINGTON,KENT,2018,129870,238,4,47,101,3065,536
WASHINGTON,KENT,2019,129870,221,1,45,101,2647,479
WASHINGTON,SPOKANE,2018,218222,814,4,190,109,7490,814
WASHINGTON,SPOKANE,2019,218222,761,2,125,136,6308,631
WISCONSIN,GREEN BAY,2018,105281,247,1,43,25,817,48
WISCONSIN,GREEN BAY,2019,105281,242,2,35,27,812,63
WISCONSIN,MADISON,2018,258455,501,2,57,90,2922,242
WISCONSIN,MADISON,2019,258455,434,0,49,97,2834,272
WISCONSIN,MILWAUKEE,2018,595619,4190,53,284,1080,8606,2373
WISCONSIN,MILWAUKEE,2019,595619,3429,44,169,761,6241,1527
